|Description|new_summary|entities
2473|**TIKTOK US SALE CLEARED BY US AND CHINA**  The US and China have approved a deal to sell TikTok’s US business to a mostly American investor group led by Oracle and Silverlake  ending a yearslong dispute.  The deal is expected to close this week  meeting a January 22 deadline tied to a federal ban. ByteDance will retain just under 20%  while Oracle  Silverlake  and UAE-backed MGX will each hold 15%.  The new US-based entity will control data  content moderation  and the algorithm  overseen by a majority-American board. The sale is expected to value the business at about $14 billion  though final terms were not disclosed.|The sale of TikTok's US business to an American investor group, led by Oracle and Silverlake, has been approved by both the US and China, concluding a long-standing dispute. The deal is valued at approximately $14 billion and is set to close this week, allowing Oracle, Silverlake, and MGX to oversee TikTok's operations.|TikTok,Oracle,Silverlake,ByteDance,MGX
2474|TRUMP ON GREENLAND: US CAN HAVE AS MANY BASES AS WE WANT|Trump has asserted that the US can establish multiple military bases in Greenland, emphasizing the country's strategic importance.|
2475|**TRUMP SEEKS “TOTAL ACCESS” TO GREENLAND**  President Donald Trump said the US is negotiating a deal to secure “total access” to Greenland  citing national security concerns.  Speaking with Fox Business  Trump said the agreement would have no time limit and is already under negotiation. He added that the US and NATO have reached a framework for a broader Arctic deal  which prompted him to pause planned tariffs on Europe.  NATO confirmed talks aim to prevent Russia and China from gaining a foothold in Greenland.|President Donald Trump announced that the U.S. seeks 'total access' to Greenland, highlighting national security concerns and ongoing negotiations with NATO to prevent Russian and Chinese influence in the region.|
2476|▻|No specific entities were mentioned in the tweet, making it hard to derive a focused summary.|
2477|US HAS NO PLANS TO OFFER SECURITY GUARANTEES TO OIL COMPANIES THAT PLAN TO OPERATE IN VENEZUELA|The US will not provide security guarantees for oil companies looking to operate in Venezuela, highlighting a lack of support for investment in that region.|oil companies, oil
2478|🚨 TRUMP: US WILL HAVE ALL MILITARY ACCESS NEEDED IN GREENLAND|Trump announces that the U.S. will secure all necessary military access in Greenland.|
2479|🚨 TRUMP: IF WE DON'T GET SUPREME COURT DECISION WE WANT ON TARIFFS  WE'LL DO SOMETHING ELSE|Trump signals potential action regarding tariffs if a favorable Supreme Court decision is not achieved.|
2480|WELLS FARGO CEO CHARLES SCHARF :  RATES LIKELY WILL GO LOWER|Charles Scharf, CEO of Wells Fargo, indicated that interest rates are likely to decrease.|Wells Fargo
2481|🚨 TRUMP ON NATO: WE'VE NEVER NEEDED THEM|Trump's remarks on NATO suggest a significant shift in perspectives towards the alliance, indicating a reduced need for such partnerships in his view.|
2482|🚨 TRUMP: BIG RETALIATION IF EUROPE SELLS US ASSETS LIKE BONDS|Trump warns of significant retaliation if Europe decides to sell US assets, such as bonds.|
2483|🚨 TRUMP ON GREENLAND: IF EUROPEANS WERE TO START SELLING U.S. SECURITIES THERE WOULD BE RETALIATION|Trump warned that any European actions to sell U.S. securities could lead to retaliatory measures from the U.S.|
2484|WELLS FARGO CEO ON CREDIT CARD CAP: 10% ON EVERYONE OVERALL COULD BE A PROBLEM|The CEO of Wells Fargo highlighted concerns that implementing a 10% credit card cap for all could pose significant issues.|Wells Fargo
2485|TRUMP: WE ARE GOING TO BUY MORE MILITARY EQUIPMENT|Trump announced plans to increase military equipment purchases, indicating a potential rise in military spending.|
2486|TRUMP SAYS HIS AFFORDABILITY POLICIES GOING TO KICK IN QUICKLY|Trump has announced that his affordability policies will be implemented quickly, suggesting a proactive approach to economic measures.|
2487|LUTNICK: AL GORE WAS ONLY PERSON WHO BOOED ME AT DAVOS DINNER|Lutnick highlighted that Al Gore was the only individual to boo him at a dinner during the Davos event, indicating a moment of personal friction.|
2488|TRUMP: WE'RE GOING TO HAVE A BUDGET -FOX BUSINESS NETWORK INTERVIEW|Trump announced in an interview with Fox Business Network that a budget will be established, indicating potential fiscal policy developments.|
2489|LUTNICK ON EUROPE  CANADA: OUR RELATIONS ARE 'PERFECTLY FINE'|Lutnick asserts that relations between Europe and Canada are 'perfectly fine', suggesting a positive outlook on diplomatic ties in the region.|
2490|TRUMP: WE'RE NEGOTIATING HEALTH CARE|Trump has announced that negotiations are underway concerning health care initiatives.|
2491|TRUMP: WOULD LIKE TO SEE ANOTHER RECONCILIATION PLAN -FBN INTERVIEW|Trump expressed interest in another reconciliation plan during a recent interview with FBN.|
2492|LUTNICK: GREENLAND FRAMEWORK IS BASED ON NATIONAL SECURITY|Lutnick emphasizes that the Greenland framework is centered around national security concerns.|
2493|LUTNICK: US-EU TRADE DEAL WILL PROBABLY BE PUT ON 'UN-HOLD|Lutnick suggests that the US-EU trade deal is likely to be put on hold, indicating potential delays in economic agreements between these regions.|
2494|TRUMP: MESSAGE TO PUTIN IS WAR HAS TO END|Former President Trump has conveyed a strong message to President Putin, emphasizing the need for an end to the ongoing conflict.|
2495|TRUMP SAYS ZELENSKIY MEETING WAS GOOD|Trump commented that his meeting with Zelenskiy was positive.|
2496|🚨 BLACKROCK'S FINK: 'SINCERELY BELIEVE' THERE IS NO AI BUBBLE|Larry Fink, CEO of BlackRock, expresses confidence that there is no current AI bubble in the market.|BlackRock
2497|🚨 TRUMP: WILL PROBABLY BE ISSUING DIVIDENDS IF WE WIN TARIFF CASE|Trump announced that dividends may be issued if the tariff case is won, suggesting potential financial benefits following the outcome.|
2498|TRUMP: WE'LL BE PAYING OFF DEBT IF WE WIN TARIFF SCOTUS CASE|Trump claims that winning the tariff Supreme Court case will allow the government to pay off debt.|
2499|LUTNICK: IDEA OF CHINA OPENING TO CANADA TRADE 'SILLIEST THING|Lutnick criticizes the notion that China will open its trade specifically with Canada, labeling it as an absurd idea.|
2500|*US 3Q GDP RISES ANNUALIZED 4.4% Q/Q; EST. +4.3%|The US GDP for the third quarter has increased by an annualized rate of 4.4%, surpassing expectations of 4.3%.|
2501|*US 3Q CORE PCE RISES ANNUALIZED 2.9% Q/Q; EST. +2.9%|The US reported a 3Q Core PCE increase of 2.9% on an annualized basis, aligning with expectations. This suggests stable inflation levels according to the estimates.|
2502|*US JOBLESS CLAIMS 200 000 IN JAN. 17 WEEK; EST. 209K|The latest US jobless claims reported 200,000 for the week of January 17, falling below the estimated 209,000.|
2503|FRANCE SAYS BOARD OF PEACE CHARTER DOES NOT CORRESPOND WITH U.N GAZA RESOLUTION  SOME ELEMENTS CONTRARY TO UNITED NATIONS CHARTER - FOREIGN MINISTRY SPOKESPERSON|France's Foreign Ministry spokesperson stated that the Board of Peace Charter is inconsistent with the U.N. Gaza Resolution and contains elements that contradict the United Nations Charter.|
2504|TRUMP'S GREENLAND DEAL ENTAILS MISSILE  MINING RIGHTS  NATO|Trump's Greenland deal raises concerns over missile operations and mining rights, which could impact NATO's strategic positioning.|mining rights
2505|FRANCE WILL NOT JOIN BOARD OF PEACE FOR NOW|France has decided not to participate in the Board of Peace at this time, marking a significant political stance.|
2506|**U.S. PRESIDENT TRUMP DEPARTS FROM ZURICH AIRPORT**  Trump has concluded an eventful stay in Davos and his motorcade is heading to the airport in Zurich for his flight back to Washington.|President Trump has concluded his visit in Davos and is departing from Zurich Airport to return to Washington.|
2507|**TRUMP HAS A LONG DRIVE BACK TO ZURICH**  Trump is leaving Davos  but bad weather kept his helicopter grounded  meaning he faces a drive from the mountain town to Air Force One that could take as long as two hours.|Trump's departure from Davos is delayed due to bad weather, forcing him to drive to Air Force One instead of flying.|
2508|NASDAQ 100 FUTURES EXTEND PREMARKET GAIN TO 1%|NASDAQ 100 futures have increased by 1% during premarket trading, signaling positive momentum.|NASDAQ 100
2509|**US-NATO GREENLAND DEAL SIGNALS MISSILES AND MINES**  A new framework deal between the US and NATO would expand military and strategic activity in Greenland  including US missile deployments  mining rights  and a stronger alliance presence to counter Russia and China.  The agreement helped defuse a diplomatic standoff after President Trump pledged not to impose tariffs on Europe. While sovereignty is off the table  the deal would update a 1951 accord giving the US broad defense access to the territory.  Talks remain preliminary  and Denmark has stressed that Greenland will not be ceded  though it is open to expanded US and NATO security cooperation|A new US-NATO deal aims to enhance military operations and mining in Greenland, countering threats from Russia and China, and easing previous diplomatic tensions. While sovereignty issues remain unresolved, the agreement updates a historical accord for US defense access.|
2510|**BLACKROCK'S RICK RIEDER SURGES IN FED CHAIR BETTING**  Rick Rieder has been climbing fast in prediction markets  now at 32% and closing the gap with frontrunner Kevin Warsh. His sharp rise in recent weeks suggests growing confidence among traders that he could emerge as Trump’s choice for Fed Chair  reshaping expectations around future monetary policy. https://kalshi.com/markets/kxfedchairnom/fed-chair-nominee/kxfedchairnom-29?utm_source=walterbloomberg|Rick Rieder of BLACKROCK is gaining traction in the race for Fed Chair, now having a 32% chance to be nominated, indicating a shift in trader confidence about his potential selection by Trump.|BLACKROCK
2511|↧|The tweet suggests a bearish sentiment, indicated by the downward arrow.|
2512|ZELENSKIY: EUROPE LOVES TO DISCUSS FUTURE BUT AVOIDS ACTION  ZELENSKIY: IF YOU SEND 40 SOLDIERS TO GREENLAND  WHAT MESSAGE DOES IT SEND  ZELENSKIY SAYS THOSE SOLDIERS WILL NOT PROTECT ANYTHING|Ukrainian President Zelenskiy criticized European leaders for discussing future plans without taking action, questioning the purpose of sending soldiers to Greenland, who he believes will not provide adequate protection.|
2513|ZELENSKIY SAYS DOCUMENTS TO END WAR IN UKRAINE NEARLY READY|Ukrainian President Zelenskiy announced that documents to potentially end the war in Ukraine are nearly ready.|
2514|**🇯🇵 JAPAN EXPORTS TO US FALL AS TRUMP TARIFFS HIT AUTOS  **Japanese exports to the US fell 4.1% last year  the first decline in five years  driven mainly by tariffs on automobiles. Vehicle shipments dropped 11.4%  and auto parts fell 10.7%.  Meanwhile  imports from the US rose 1.6%  shrinking Japan’s trade surplus with the US by 12.6%.|Japanese exports to the US decreased by 4.1%, marking the first decline in five years, primarily due to tariffs imposed on automobiles, with vehicle shipments down 11.4%. Concurrently, imports from the US increased by 1.6%, leading to a 12.6% reduction in Japan’s trade surplus with the US.|
2515|**BLACKROCK’S FINK SAYS NO AI BUBBLE**  BlackRock CEO Larry Fink said there is no bubble in artificial intelligence  citing the massive investment required to develop the technology.  “I sincerely believe there is no bubble in the AI space ” Fink told Bloomberg at the World Economic Forum in Davos. He noted that hundreds of billions spent on AI will drive global growth  despite some inevitable “big failures.”  On markets  Fink said some investors diversified away from U.S. assets last year  but he doubts major shifts will continue given U.S. economic growth.  Regarding the forum itself  Fink said the board hasn’t discussed moving it from Davos  though additional events elsewhere may be considered. “Davos is Davos. It is a great town ” he said.|Larry Fink, CEO of BlackRock, asserted that there is no bubble in the artificial intelligence sector, emphasizing the significant investments driving growth. At the World Economic Forum, he noted that while some investors have diversified away from U.S. assets, he believes this trend will not persist due to steady economic growth in the U.S.|BlackRock
2516|*US NOV. PERSONAL INCOME RISES 0.3% M/M; EST. +0.4%|The US reported a 0.3% rise in personal income for November, falling short of the anticipated 0.4% increase.|
2517|*US NOV. PERSONAL SPENDING RISES 0.5% M/M; EST. +0.5%  *US NOV. CORE PCE PRICE INDEX RISES 0.2% M/M; EST. +0.2% *US NOV. CORE PCE PRICE INDEX RISES 2.8% Y/Y; EST. +2.8%|US November personal spending increased by 0.5% month-over-month, aligning with estimates, while the core PCE price index rose by 0.2% month-over-month and 2.8% year-over-year, also meeting expectations.|
2518|**TRUMP PUSHES FOR CUBA REGIME CHANGE BY YEAR-END**  The Trump administration is actively seeking to end Cuba’s Communist rule before the end of 2026  following the recent ouster of Venezuelan President Nicolás Maduro. Officials are reportedly reaching out to Cuban insiders willing to negotiate a transition  citing Cuba’s collapsing economy after losing Venezuelan support.  While no formal plan is finalized  the strategy mirrors the Venezuela operation and includes economic pressure  public warnings from Trump to “make a deal before it is too late ” and coordination with Cuban exile groups to identify potential defectors. The administration views this as an opportunity to dismantle nearly seven decades of one‑party rule.|The Trump administration is pushing for regime change in Cuba by the end of 2026, motivated by the recent ousting of Venezuelan President Nicolás Maduro and Cuba's struggling economy. This strategy involves economic pressure and collaboration with Cuban exiles to foster political change.|
